name,sku,Category,supplier,purchase_price,selling_price,quantity_in_stock,expiry_date
Throw,397,2,Terry PLC,191.3,266.97,22,8/25/2025
Finally,398,3,Jones Inc,182.72,242.77,97,5/23/2025
Skin,399,5,"Nichols, Erickson and Kim",124.95,162.5,491,11/15/2025
Newspaper,400,0,Anderson-Hayes,95.6,136.17,429,6/25/2025
Thus,401,5,Roberts-Flores,196.65,222.95,331,3/24/2024
Weight,402,1,Zuniga-Pope,17.44,24.12,225,4/8/2024
Customer,403,2,Allen PLC,109.32,127.19,191,9/1/2025
Medical,404,5,Barr LLC,83.61,117.87,348,7/9/2024
Assume,405,2,Johnson PLC,19.95,26.98,172,9/29/2024
Two,406,0,Smith-Morgan,72.64,96.12,198,7/27/2024
Crime,407,5,Lamb Ltd,57.88,83.38,494,3/25/2025
Hundred,408,2,Dixon Group,175.92,216.97,299,9/17/2025
Claim,409,0,Williams-Clements,36.87,45.72,496,1/19/2024
Provide,410,0,"Webb, Brown and Simmons",142.71,179.36,305,1/8/2024
Born,411,0,"Mcguire, Sullivan and Petersen",188.22,230.35,193,6/26/2024
Long,412,0,Vance-Cobb,160.42,228.64,344,1/9/2025
Condition,413,0,Hebert PLC,167.5,233.75,351,7/24/2024
Turn,414,2,Calderon-Newman,27.76,37.98,261,1/10/2025
Serve,415,5,"Harris, Washington and Smith",13.46,16.47,487,12/2/2024
Enter,416,1,Vance PLC,74.93,105.39,99,5/30/2025
Could,417,1,Livingston-Morales,200,232.4,152,9/6/2024
Certainly,418,0,Ortiz and Sons,106.46,140.09,379,2/10/2025
Easy,419,2,Rodriguez-Williams,17.17,21.2,393,8/17/2024
Throughout,420,2,Patel LLC,34.9,43.65,84,2/21/2025
Report,421,1,"Andrade, Thompson and Anderson",167.96,236.56,415,9/25/2025
View,422,1,Morgan PLC,147.02,164.29,187,10/28/2024
Out,423,0,"Williams, Ortiz and Smith",146.72,218.3,313,11/15/2024
Simple,424,5,"Thompson, Spencer and Williams",152.95,216.2,120,11/7/2025
Black,425,2,"Allen, Lane and Kim",55.44,82.4,402,8/23/2025
What,426,3,Aguilar Group,181.76,214.04,348,7/5/2024
Receive,427,2,Fisher-Warren,197.04,253.13,145,7/10/2024
Allow,428,3,Gomez-Sharp,105.55,133.78,83,4/26/2024
To,429,1,Larson Group,162.24,187.45,129,10/18/2024
Resource,430,0,Aguilar and Sons,131.82,191.09,284,8/5/2025
Yes,431,0,Grimes PLC,145.17,189.64,64,10/24/2025
Herself,432,5,"Calhoun, Rodriguez and Brady",25.94,30.2,231,10/2/2024
Growth,433,2,"Rosario, Garcia and Johnson",38,48.45,485,4/11/2025
Pass,434,1,"Humphrey, Hudson and Weiss",165.17,240.13,477,7/6/2024
Me,435,0,"Morrison, Clark and Romero",88.83,111.8,192,12/11/2024
See,436,1,Hale-Carter,83.37,94.43,115,6/14/2024
Shake,437,0,Archer LLC,70.55,80.4,366,6/3/2025
Weight,438,0,Tate-Mosley,73.71,85.39,20,1/19/2024
Crime,439,5,"Smith, Sutton and Decker",184.31,237.57,426,9/29/2024
Better,440,1,Hicks-Bruce,154.18,198.53,316,6/19/2024
Dinner,441,0,Turner-Shah,182.11,201.71,111,9/20/2025
Audience,442,1,"Taylor, Terrell and Myers",114.27,158.94,271,3/8/2024
Play,443,3,Mcintyre Ltd,31.13,37.83,155,8/19/2024
Rate,444,0,Jordan Group,19.07,24.18,407,1/1/2024
Could,445,2,Stanton-Rodriguez,96.85,110.83,464,4/27/2024
Prepare,446,3,Wood Group,123.38,136.53,264,7/30/2025
Student,447,2,Mitchell-Hale,55.97,64.78,220,10/19/2025
Long,448,0,Gibson Ltd,126.81,151.69,214,12/31/2024
Director,449,1,"Andrews, Miller and Smith",136.23,154.52,500,6/21/2024
Either,450,5,Cantrell and Sons,22.86,29.96,260,4/23/2024
Body,451,2,Wood-Harris,115.29,144.83,241,9/5/2025
Level,452,0,"Butler, Spencer and Martinez",130.78,195.18,130,7/7/2025
Help,453,0,Carlson Group,13.09,18.53,177,10/24/2025
Form,454,1,"Golden, Mcfarland and Schultz",149.26,201.7,396,10/8/2025
Office,455,2,Howell-Chavez,149.69,184.57,23,6/29/2025
Beautiful,456,5,"Levine, Hudson and Anderson",113.74,162.13,90,5/2/2025
Cause,457,0,Martinez-Lewis,98.28,135.45,324,11/6/2024
Out,458,1,"Haynes, Robertson and Orozco",164.18,184.74,398,10/4/2024
Else,459,3,Klein-Jones,17.03,20.11,406,3/2/2025
Song,460,1,Morse-Taylor,178.3,218.64,159,7/9/2025
Other,461,2,"Mckenzie, Cisneros and Hooper",85.66,122.17,243,12/13/2024
Skill,462,5,Farmer LLC,16.96,23.04,147,1/29/2024
All,463,5,Ray-Hernandez,173.81,194.51,336,4/2/2025
Contain,464,5,Perez-Hernandez,61.91,87.9,224,8/20/2025
Strategy,465,3,"Castillo, Jensen and Mitchell",151.23,220.47,198,3/19/2025
According,466,5,Brown-Stafford,195.01,253.22,255,8/16/2025
Mother,467,5,"Simpson, Hoover and Brown",185.62,242.74,411,11/29/2025
Others,468,0,Schmidt-Rodriguez,148.15,167.64,309,3/14/2024
Story,469,1,Hamilton-Kline,113.64,139.6,41,1/16/2025
Happy,470,5,Gonzalez-Hall,135.57,165.75,309,6/28/2024
General,471,0,"Rogers, Garcia and Dyer",90.96,125.15,180,7/6/2024
Simply,472,3,Brown and Sons,18.05,26.14,181,12/19/2025
Himself,473,2,Ortiz-Ferguson,199.65,241.54,406,3/26/2024
Opportunity,474,0,Olson-Mejia,24.26,32.87,187,11/5/2025
Wide,475,2,Benson and Sons,162.21,222.51,488,3/6/2024
Wrong,476,0,Jordan Inc,37.13,49.87,401,3/11/2024
Medical,477,3,"Graham, Parker and Long",16.61,18.72,399,10/7/2024
Concern,478,0,Bond PLC,79.6,99.75,291,4/3/2024
Economic,479,0,Cox PLC,124.97,171.41,486,5/15/2024
Owner,480,5,Mills Ltd,80.68,113.37,294,1/21/2025
See,481,1,Dickerson-Chapman,110.6,139.27,333,7/23/2024
Water,482,5,Lewis Inc,57.43,65.78,377,1/30/2025
Evidence,483,1,"Gray, Mcguire and Lee",104.82,131.53,288,7/29/2024
Most,484,0,"Hogan, Barnes and Brooks",59.74,71.93,229,5/1/2024
Really,485,1,"Livingston, Nelson and Burgess",199.31,242.01,470,9/7/2024
Call,486,3,Warner and Sons,48.03,55.44,38,5/19/2024
Whose,487,3,Alvarez Ltd,42.8,59.29,45,2/23/2025
Character,488,0,"Padilla, Moody and Cooper",193.84,289.72,342,10/14/2024
Plan,489,5,Brown and Sons,144.81,191.15,149,9/7/2024
Executive,490,5,Jones-Walton,171.76,237.84,475,11/26/2024
Choose,491,0,"Gordon, Davis and Johnson",131.16,185.92,261,2/17/2024
Detail,492,1,"Morris, Williams and Combs",33.06,39.02,72,6/16/2025
Indicate,493,1,Carey-Moore,160.17,177.87,284,4/7/2025
Ask,494,2,"Richmond, Ramirez and Mason",80.09,113.85,283,6/11/2024
Around,495,1,Adams-Riley,126.27,143.25,159,9/4/2024
Dream,496,3,Bailey-Johnson,199.92,277.4,270,9/22/2025
Decade,497,3,Webster LLC,156.14,223.18,38,7/10/2025
Action,498,1,Arnold Group,194.75,264.26,231,12/5/2024
Dark,499,3,Murphy LLC,139.22,172.33,450,11/23/2024
Reach,500,2,Carney-Miller,131.56,154.29,495,6/11/2024
